method,record,output_mode,warp,num_samples,num_obs_per_sample,num_outputs,num_input_leads,num_classes_true,num_clusters_pred,fit_runtime_sec,fit_runtime_min,total_runtime_sec,total_runtime_min,cpu_start_rss_mb,cpu_end_rss_mb,cpu_peak_rss_mb,cpu_peak_delta_mb,ru_maxrss_start_mb,ru_maxrss_end_mb,gpu_peak_allocated_mb,cluster_labels_path
offline,119,single-output,on,1987,90,1,1,2,4,579.5807493306849,9.659679155511414,579.6124705732094,9.660207842886823,3933.538939955629,4032.026793333414,4237.733984889215,514.2679788895032,3933.538939955629,4237.733984889215,0.0,
offline,119,multi-output,on,1987,90,2,2,2,3,731.1460825434243,12.185768042390405,731.1549102088966,12.185915170148276,3353.711830843328,4108.654544992975,4859.090894604952,1876.090874029941,3353.711830843328,4859.090894604952,0.0,
online,121,single-output,off,1863,90,1,1,3,6,125.27832724315788,2.087972120719298,125.34426639739404,2.089071106623234,1649.3978179699905,1842.962208145377,1965.1564517245367,305.48560894789955,1649.3978179699905,1965.1564517245367,0.0,
offline,121,single-output,off,1863,90,1,1,3,5,208.84298715011224,3.480716452501871,208.85890510027988,3.4809817516713313,3218.300521371875,3684.708183191693,4038.283556984184,883.9384344812277,3218.300521371875,4038.283556984184,0.0,
offline,121,multi-output,off,1863,90,2,2,3,4,189.90169358464004,3.1650282264106675,189.9082307466277,3.1651371791104617,4032.544393643225,4267.037370142694,4666.5142239265215,998.6921344595688,4032.544393643225,4666.5142239265215,0.0,
offline,121,single-output,on,1863,90,1,1,3,5,585.191134705048,9.753185578417465,585.2231630115932,9.753719383526553,3930.597724422745,4013.635712632504,4214.102556753148,501.16711030160906,3930.597724422745,4214.102556753148,0.0,
offline,121,multi-output,on,1863,90,2,2,3,4,938.4308542858719,15.640514238097865,938.445084664493,15.640751411074884,3344.442905570143,4291.197425330462,4995.793714221047,1761.4907222264624,3344.442905570143,4995.793714221047,0.0,
online,122,single-output,off,2476,90,1,1,1,2,92.62441600456376,1.5437402667427294,92.6731680575913,1.544552800959855,1641.0707814432417,1881.638054091066,2024.8431385813888,358.0127112258086,1641.0707814432417,2024.8431385813888,0.0,
offline,122,single-output,off,2476,90,1,1,1,2,172.35756319741623,2.8726260532902703,172.37070023945645,2.872845003990941,3228.170561258939,4094.7051583728176,4578.929296524504,1210.5603453792162,3228.170561258939,4578.929296524504,0.0,
offline,122,multi-output,off,2476,90,2,2,1,1,51.472968491528015,0.8578828081921336,51.47474039322443,0.8579123398870738,4022.85605070262,5169.122127360706,5652.468913328524,1208.3669649195435,4022.85605070262,5652.468913328524,0.0,
