record,method,fit_minutes,n_samples,n_true_clusters,n_pred_clusters,acc,ari,ami,nmi,homogeneity,completeness,v_measure,silhouette,dbscan_score,dbscan_eps,dbscan_min_samples,dbscan_retained_fraction,dbscan_n_clusters_no_noise,dec_k,dec_auto_k_silhouette
123,CAE+DBSCAN,0.42891021172205607,1518,2,4,0.9980237154150198,0.012829402485713301,0.010503031876706492,0.01223172423565423,0.24168745444954715,0.006274640895327597,0.01223172423565423,-0.0854194164276123,-0.02730553038418293,0.4973205950713449,10.0,0.8247694334650857,3.0,,
123,DEC,0.6870085875193278,1518,2,3,1.0,0.007822665779663096,0.03845103450297239,0.03964740701769636,0.9999999999999645,0.02022463058922497,0.039647407017696354,0.44937026500701904,,,,,,3,0.4590771794319153
123,HDP-GPC,nan,1518,2,3,1.0,0.04099297561825762,0.08775247860852947,0.08948572300396393,0.9999999999999393,0.0468385523633278,0.08948572300396393,0.08298186957836151,,,,,,,
124,CAE+DPGMM,0.4562068819999695,1619,6,17,0.9765287214329833,0.11730400568442415,0.2563249205582409,0.265022041711299,0.5631741344827201,0.1732834253003255,0.265022041711299,0.34000164270401,,,,,,,
124,CAE+DBSCAN,0.45462538798650104,1619,6,5,0.9598517603458925,0.6160615015318804,0.46812096391815766,0.4733230318552119,0.4284504120105219,0.5286944451798724,0.47332303185521185,0.7065381407737732,0.7669076919555664,0.40160253989830846,3.0,0.958616429894997,4.0,,
124,DEC,0.7151238203048706,1619,6,2,0.9746757257566399,0.7055968571404909,0.6609545120063246,0.6629879445087058,0.49966729219711287,0.9849166059894281,0.6629879445087058,0.8684871196746826,,,,,,2,0.8908237218856812
124,HDP-GPC,nan,1619,6,9,0.9752933909820877,0.18736496089310564,0.2978772649472318,0.30592101984042563,0.5423017901889594,0.21305410590084345,0.3059210198404257,0.1775853931903839,,,,,,,
200,CAE+DPGMM,0.749157186349233,2601,4,15,0.9703960015378701,0.866184246773755,0.7346490180073627,0.736255767995107,0.8502987593054296,0.6491862098244401,0.736255767995107,0.4374808073043823,,,,,,,
200,CAE+DBSCAN,0.7483301679293315,2601,4,3,0.8823529411764706,0.5940067015351711,0.5554213509450876,0.5560731124463624,0.6753092376931142,0.4726241284428854,0.5560731124463624,0.4757610857486725,0.9021475315093994,0.14158273920857753,10.0,0.778162245290273,2.0,,
200,DEC,1.15496164560318,2601,4,2,0.9438677431757017,0.7950963535153261,0.7196772504107917,0.719953471889783,0.6664114112937854,0.782850714792096,0.7199534718897831,0.8613801002502441,,,,,,2,0.8613801002502441
200,HDP-GPC,nan,2601,4,16,0.9777008842752788,0.8139814043329263,0.6722080955744918,0.6742420260339793,0.8355186554129242,0.5651529452533698,0.6742420260339794,0.4559575915336609,,,,,,,
201,CAE+DPGMM,0.573750619093577,1963,7,15,0.9735099337748344,0.7740693174936479,0.7095807948074159,0.7134930742543698,0.7967989485946295,0.6459577502366335,0.7134930742543698,0.3163180351257324,,,,,,,
201,CAE+DBSCAN,0.571673834323883,1963,7,3,0.8807947019867549,0.7018805407657492,0.5377591608743263,0.5395647713065876,0.49167556848953614,0.5977894685139522,0.5395647713065876,0.6114015579223633,0.8733940720558167,0.24907172935352856,5.0,0.7947019867549668,2.0,,
201,DEC,0.8845975240071614,1963,7,4,0.9623025980641875,0.8809795914530473,0.7804077441999819,0.7818108333583568,0.7102424053343148,0.8694188686681176,0.7818108333583567,0.8169214129447937,,,,,,4,0.8180264234542847
201,HDP-GPC,nan,1963,7,10,0.9735099337748344,0.3514714618655963,0.5469616322065982,0.5512948161205596,0.7759934890778362,0.42750528494386897,0.5512948161205595,0.04582379758358002,,,,,,,
202,CAE+DPGMM,0.6311384479204813,2136,5,22,0.9822097378277154,0.037390863671402166,0.1219286895082319,0.12899359849992365,0.5720435050995129,0.07269276834117477,0.12899359849992362,0.10545071214437485,,,,,,,
202,CAE+DBSCAN,0.604701042175293,2136,5,3,0.9648876404494382,0.39186615355926857,0.26004469101321226,0.2643525500998368,0.28872637240575755,0.24377357189708038,0.2643525500998368,0.37003710865974426,0.41354745626449585,0.6088069320922916,10.0,0.9480337078651685,2.0,,
202,DEC,0.9439667065938313,2136,5,2,0.9648876404494382,0.00046267758567877424,0.01687267108126832,0.019193756838140036,0.04444082040137977,0.012240094718683047,0.019193756838140032,0.1440328061580658,,,,,,2,0.8655141592025757
202,HDP-GPC,nan,2136,5,7,0.9817415730337079,0.13444039123428211,0.2412019484976946,0.24565635522390245,0.5102738626727679,0.16176721293274696,0.24565635522390245,0.06868573278188705,,,,,,,
203,CAE+DPGMM,0.8775223731994629,2980,5,17,0.9687919463087248,0.3645686557856058,0.41316102482467054,0.4161718416347573,0.8394924111114714,0.2766625843582435,0.41617184163475723,0.333761602640152,,,,,,,
203,CAE+DBSCAN,0.8552368601163228,2980,5,4,0.9332214765100671,0.5907278211514562,0.5086707452024786,0.5098855960036226,0.6885863222414977,0.40482588542240755,0.5098855960036227,0.5041311383247375,0.7019327282905579,0.29599250776131286,10.0,0.8271812080536913,3.0,,
203,DEC,1.3324625492095947,2980,5,2,0.8486577181208054,0.3504102574382633,0.3246057636566635,0.3256202445066446,0.3988049219037957,0.2751309697779325,0.3256202445066446,0.5244174599647522,,,,,,2,0.7643862962722778
203,HDP-GPC,nan,2980,5,7,0.9701342281879195,0.36644075826834277,0.4111710456177054,0.4130702771895445,0.7165307780956041,0.2901765664236708,0.4130702771895445,-0.0036061664577573538,,,,,,,
205,CAE+DPGMM,0.7599094192186991,2656,4,13,0.9947289156626506,0.8714074707899702,0.7456887783570898,0.7480105967610757,0.8972540226926544,0.6413350723816249,0.7480105967610758,0.46540567278862,,,,,,,
205,CAE+DBSCAN,0.745445466041565,2656,4,3,0.9845632530120482,0.8285282522856562,0.6764295382079524,0.6778934926434653,0.7452279655954822,0.62171860825385,0.6778934926434653,0.7658289670944214,0.8612605929374695,0.5285567821104604,10.0,0.9661144578313253,2.0,,
205,DEC,1.1654149969418843,2656,4,2,0.9947289156626506,0.9123153693409976,0.8700920500194733,0.8705149726622731,0.7768459423882522,0.9898695525410743,0.8705149726622731,0.8503209352493286,,,,,,2,0.8499565720558167
205,HDP-GPC,nan,2656,4,10,0.995105421686747,0.8236001266893405,0.7137334790693731,0.7162994197349261,0.9077714193623084,0.5915306197955685,0.716299419734926,0.4854779541492462,,,,,,,
207,CAE+DPGMM,0.6689677238464355,2332,6,36,0.9618353344768439,0.511710471763741,0.648958743688791,0.6560360307571547,0.9034378374243842,0.5150046541606095,0.6560360307571546,0.2213314324617386,,,,,,,
207,CAE+DBSCAN,0.6700257817904155,2332,6,3,0.7778730703259005,0.5824143121229165,0.47153134963264715,0.47281558287483283,0.3730380852475857,0.6454579536947506,0.47281558287483283,0.707662045955658,0.802397608757019,0.7954708709846832,5.0,0.9665523156089194,2.0,,
207,DEC,1.0379249970118205,2332,6,2,0.8014579759862779,0.6659253738797034,0.5578829567471342,0.5584244482450326,0.4239072469748163,0.8179969353217452,0.5584244482450327,0.7387279868125916,,,,,,2,0.7765412926673889
207,HDP-GPC,nan,2332,6,9,0.8966552315608919,0.7396112891375806,0.639667285572997,0.6420144752565444,0.7602524452443713,0.5556043255942178,0.6420144752565444,0.2638144791126251,,,,,,,
208,CAE+DPGMM,0.8538625478744507,2955,5,25,0.9705583756345177,0.7280636530631747,0.6731905794147498,0.6757686922186255,0.8851990191540451,0.546477020430666,0.6757686922186255,0.36614489555358887,,,,,,,
208,CAE+DBSCAN,0.8457309047381083,2955,5,8,0.8409475465313029,0.5751324284690358,0.5707713461702547,0.5721585589589908,0.6496343650396778,0.5111933196844408,0.5721585589589908,0.30167728662490845,0.6419391632080078,0.17715529621636472,10.0,0.727580372250423,7.0,,
208,DEC,1.3124146779378254,2955,5,3,0.9593908629441624,0.9091785587813713,0.8260158952720213,0.8262743439443485,0.8238581518452092,0.8287047500343625,0.8262743439443486,0.6015546321868896,,,,,,3,0.6951991319656372
208,HDP-GPC,nan,2955,5,17,0.9688663282571912,0.799040777836069,0.7096399787445264,0.7112376228277787,0.907826097975529,0.5846355993285682,0.7112376228277787,0.17044402658939362,,,,,,,
209,CAE+DPGMM,1.2956506848335265,3005,3,29,0.9121464226289517,0.04006596155006745,0.09774541057658674,0.10127554104081365,0.38247660591532506,0.05836496676681895,0.10127554104081367,0.08740566670894623,,,,,,,
